"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00094","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00095","","","","30","2","6","2","7.3","26.7","5","1","2","3","5","1.5","34","21.47058824","8.111111111","29.66666667","37.77777778","0.243333333","0.89"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00096","","","","30","1","5","2","7.3","0.3","2","5","3","5","7","1.65","7.6","96.05263158","8.111111111","0.333333333","8.444444444","0.243333333","0.01"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00097","","","","30","2","7","2","8","16.7","2","6","2","3","5","1.5","24.7","32.38866397","8.888888889","18.55555556","27.44444444","0.266666667","0.556666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00098","","","","30","3","8","2","24","81.7","9","1","2","2","5","1.5","105.7","22.70577105","26.66666667","90.77777778","117.4444444","0.8","2.723333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00099","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00100","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00101","","","","30","3","8","2","66.7","43.3","5","3","3","5","1","1.38","110","60.63636364","74.11111111","48.11111111","122.2222222","2.223333333","1.443333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00102","","","","30","","","2","0","0","2","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00103","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00104","","","","30","2","4","3","5.3","1","2","7","6","3","5","0.15","6.3","84.12698413","5.888888889","1.111111111","7","0.176666667","0.033333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00105","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00106","","","","30","6","4","2","8.7","4","5","4","2","7","7","4.61","12.7","68.50393701","9.666666667","4.444444444","14.11111111","0.29","0.133333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00107","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00108","","","","30","2","6","2","13.3","73.3","2","1","1","3","5","0","86.6","15.35796767","14.77777778","81.44444444","96.22222222","0.443333333","2.443333333"
