"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00066","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00067","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00068","","","","30","0","1.87946","0.999182","0.392649","1.144825","1.978073","2.289371","25.0465965","4","2","4.8071351","53.4239998","67.1515121","27.03025478","22.0578766","14.5191393"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00069","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00007","","","","30","16.0414085","1.943094","0.794952","1.716444","5.5419569","4.6659842","7.6646061","14.5817833","6","6","2.5458679","50.0156746","60.4905396","21.16570519","20.1565552","8.6851368"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00070","","","","30","0","1.794163","0.906227","1.613722","2.1564109","3.107049","3.7407811","24.0096226","2","8","3.034447","51.9365387","67.1210022","30.97118042","18.7293091","10.8384619"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00071","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00072","","","","30","0","1.6043839","0.854698","0.988792","1.993504","2.4620781","3.592566","22.0042381","2","3","2.79001","55.0630188","69.1795959","31.17577197","16.9533539","10.2109756"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00073","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00074","","","","30","","","","","","","","","","","","","","","",""
