"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00111","","","","2","5","3","3","3","3","","5","","0.16","0.16","1.28","0.32","1.6","7","0.08","0.032","0.045714286","2.333333333","2.333333333","0.666666667","0.666666667","0.106666667","0.106666667","0.426666667","0.426666667","28.57142857","20","100","1.777777778","1.777777778","3.555555556","3.555555556","14.22222222","14.22222222","17.77777778","17.77777778"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00112","","","","6","0","3","3","3","3","5","1","2","1.92","0","3.24","1.92","5.16","6","0.32","","0.32","2","2","2","2","0.64","0.64","1.08","1.08","100","37.20930233","100","21.33333333","21.33333333","21.33333333","21.33333333","36","36","57.33333333","57.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00113","","","","0","0","","1","3","0","","","","0","0","0.38","0","0.38","0","","","","0","0","0","0","0","0","0.38","0.126666667","","0","33.33333333","0","0","0","0","4.222222222","12.66666667","4.222222222","12.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00114","","","","0","0","2","0","3","0","5","7","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00115","","","","0","0","2","0","3","0","","7","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00116","","","","0","0","2","0","3","0","7","7","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00117","","","","7","0","3","2","3","2","8","","1","","0","3.78","","","7","","","","3.5","2.333333333","3.5","2.333333333","","","1.89","1.26","100","","66.66666667","","","","","42","63","",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00118","","","","0","0","1","0","3","0","5","7","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00119","","","","0","0","","0","3","0","","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00120","","","","0","0","2","1","3","0","8","3","","0","0","1.28","0","1.28","0","","","","0","0","0","0","0","0","1.28","0.426666667","","0","33.33333333","0","0","0","0","14.22222222","42.66666667","14.22222222","42.66666667"
