LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
305	PG17139-A9					6	Ghana-CIP		bdeboeck							
306	PG17140-A1					6	Ghana-CIP		bdeboeck							
307	PG17140-A11					6	Ghana-CIP		bdeboeck							
308	PG17140-A12					6	Ghana-CIP		bdeboeck							
309	PG17140-A13					6	Ghana-CIP		bdeboeck							
310	PG17140-A2					6	Ghana-CIP		bdeboeck							
311	PG17140-A3					6	Ghana-CIP		bdeboeck							
312	PG17140-A4					6	Ghana-CIP		bdeboeck							
313	PG17140-A5					6	Ghana-CIP		bdeboeck							
314	PG17140-A6					6	Ghana-CIP		bdeboeck							
315	PG17140-A9					6	Ghana-CIP		bdeboeck							
316	PG17140-N1					6	Ghana-CIP		bdeboeck							
317	PG17140-N2					6	Ghana-CIP		bdeboeck							
318	PG17142-N1					6	Ghana-CIP		bdeboeck							
319	PG17142-N2					6	Ghana-CIP		bdeboeck							
320	PG17143-N2					6	Ghana-CIP		bdeboeck							
321	PG17145-A1					6	Ghana-CIP		bdeboeck							
322	PG17145-A11					6	Ghana-CIP		bdeboeck							
323	PG17145-A12					6	Ghana-CIP		bdeboeck							
324	PG17145-A13					6	Ghana-CIP		bdeboeck							
325	PG17145-A14					6	Ghana-CIP		bdeboeck							
326	PG17145-A15					6	Ghana-CIP		bdeboeck							
327	PG17145-A2					6	Ghana-CIP		bdeboeck							
328	PG17145-A3					6	Ghana-CIP		bdeboeck							
329	PG17145-A4					6	Ghana-CIP		bdeboeck							
330	PG17145-A5					6	Ghana-CIP		bdeboeck							
331	PG17146-A1					6	Ghana-CIP		bdeboeck							
332	PG17146-A11					6	Ghana-CIP		bdeboeck							
333	PG17146-A13					6	Ghana-CIP		bdeboeck							
334	PG17146-A14					6	Ghana-CIP		bdeboeck							
335	PG17146-A15					6	Ghana-CIP		bdeboeck							
336	PG17146-A2					6	Ghana-CIP		bdeboeck							
337	PG17146-A3					6	Ghana-CIP		bdeboeck							
338	PG17146-A5					6	Ghana-CIP		bdeboeck							
339	PG17146-N1					6	Ghana-CIP		bdeboeck							
340	PG17147-A1					6	Ghana-CIP		bdeboeck							
341	PG17147-A10					6	Ghana-CIP		bdeboeck							
342	PG17147-A11					6	Ghana-CIP		bdeboeck							
343	PG17147-A2					6	Ghana-CIP		bdeboeck							
344	PG17147-A3					6	Ghana-CIP		bdeboeck							
345	PG17147-A5					6	Ghana-CIP		bdeboeck							
346	PG17147-A6					6	Ghana-CIP		bdeboeck							
347	PG17147-A7					6	Ghana-CIP		bdeboeck							
348	PG17147-A8					6	Ghana-CIP		bdeboeck							
349	PG17147-A9					6	Ghana-CIP		bdeboeck							
350	PG17148-N1					6	Ghana-CIP		bdeboeck							
351	PG17149-A1					6	Ghana-CIP		bdeboeck							
352	PG17149-N1					6	Ghana-CIP		bdeboeck							
353	PG17149-N2					6	Ghana-CIP		bdeboeck							
354	PG17149-N3					6	Ghana-CIP		bdeboeck							
355	PG17150-A1					6	Ghana-CIP		bdeboeck							
356	PG17150-N1					6	Ghana-CIP		bdeboeck							
357	PG17150-N2					6	Ghana-CIP		bdeboeck							
358	PG17151-N1					6	Ghana-CIP		bdeboeck							
359	PG17153-A1					6	Ghana-CIP		bdeboeck							
360	PG17153-A3					6	Ghana-CIP		bdeboeck							
361	PG17156-A1					6	Ghana-CIP		bdeboeck							
362	PG17156-A10					6	Ghana-CIP		bdeboeck							
363	PG17156-A12					6	Ghana-CIP		bdeboeck							
364	PG17156-A13					6	Ghana-CIP		bdeboeck							
365	PG17156-A2					6	Ghana-CIP		bdeboeck							
366	PG17156-A3					6	Ghana-CIP		bdeboeck							
367	PG17156-A4					6	Ghana-CIP		bdeboeck							
368	PG17156-A6					6	Ghana-CIP		bdeboeck							
369	PG17156-A7					6	Ghana-CIP		bdeboeck							
370	PG17156-A8					6	Ghana-CIP		bdeboeck							
371	PG17156-N1					6	Ghana-CIP		bdeboeck							
372	PG17156-N2					6	Ghana-CIP		bdeboeck							
373	PG17158-A1					6	Ghana-CIP		bdeboeck							
374	PG17160-A1					6	Ghana-CIP		bdeboeck							
375	PG17160-A10					6	Ghana-CIP		bdeboeck							
376	PG17160-A2					6	Ghana-CIP		bdeboeck							
377	PG17160-A3					6	Ghana-CIP		bdeboeck							
378	PG17160-A4					6	Ghana-CIP		bdeboeck							
379	PG17160-A5					6	Ghana-CIP		bdeboeck							
380	PG17160-A6					6	Ghana-CIP		bdeboeck							
381	PG17160-A7					6	Ghana-CIP		bdeboeck							
382	PG17160-A8					6	Ghana-CIP		bdeboeck							
383	PG17160-A9					6	Ghana-CIP		bdeboeck							
384	PG17161-A1					6	Ghana-CIP		bdeboeck							
385	PG17161-A11					6	Ghana-CIP		bdeboeck							
386	PG17161-A12					6	Ghana-CIP		bdeboeck							
387	PG17161-A13					6	Ghana-CIP		bdeboeck							
